workflow_id,issuer_name,branch,workflow_event_trigger,build_duration,total_builds,dependencies_count,workflow_size,gh_sloc,gh_test_lines_per_kloc,total_jobs,tests_ran,gh_files_added,gh_files_deleted,gh_files_modified,gh_lines_added,gh_lines_deleted,gh_src_churn,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_files,gh_doc_files,gh_other_files,gh_commits_on_files_touched,dockerfile_changed,docker_compose_changed,git_num_committers,git_commits,gh_team_size_last_3_month,gh_is_pr,gh_num_pr_comments,gh_description_complexity,yaml_has_caching,yaml_has_concurrency,yaml_has_self_hosted,yaml_has_matrix,yaml_max_matrix_size,yaml_services_count,yaml_total_steps,ct_commit_available,is_workflow_commit,workflow_run_count,ct_commit_files,ct_commit_additions,ct_commit_deletions,ct_commit_total_changes,ct_unique_top_dirs,ct_unique_extensions,ct_service_like_dirs_touched,ct_shared_component_touched,ct_workflow_touched,ct_docker_touched,ct_k8s_touched,ct_api_contract_touched,ct_config_touched,ct_infra_touched,ct_scripts_ops_touched,ct_tests_touched,ct_docs_touched,ct_build_manifest_touched,ct_frontend_touched,ct_backend_code_touched,ps_patch_commit_available,ps_patch_files_available,ps_patch_files_missing,ps_patch_hunks,ps_patch_changed_lines,ps_patch_blank_changed_lines,ps_patch_comment_changed_lines,ps_patch_code_changed_lines,ps_import_changed_lines,ps_workflow_patch_files,ps_workflow_step_changed,ps_workflow_run_changed,ps_workflow_uses_changed,ps_workflow_matrix_changed,ps_workflow_timeout_changed,ps_workflow_services_changed,ps_workflow_permissions_changed,ps_workflow_trigger_changed,ps_workflow_needs_if_changed,ps_workflow_action_version_bumps,ps_build_manifest_patch_files,ps_lockfile_patch_files,ps_dependency_version_lines_changed,ps_dependency_declaration_changed,ps_build_task_lines_changed,ps_docker_patch_files,ps_docker_base_image_changes,ps_docker_run_instruction_changes,ps_docker_env_changes,ps_docker_expose_changes,ps_docker_package_install_changes,ps_k8s_patch_files,ps_k8s_image_changes,ps_k8s_env_changes,ps_k8s_resource_changes,ps_k8s_probe_changes,ps_k8s_replica_changes,ps_k8s_port_changes,ps_compose_patch_files,ps_compose_service_changes,ps_compose_port_changes,ps_compose_volume_changes,ps_api_patch_files,ps_http_endpoint_changed,ps_config_patch_files,ps_env_key_changed,ps_url_or_host_changed,ps_test_patch_files,ps_test_case_changed,ps_assert_changed,ps_skip_test_changed,ps_logging_changed,ps_exception_changed,ps_todo_fixme_changed,hour,dow,month,day_or_night,project_age_days,duration_lag_1,window_avg_7,ft_ms_workflow_yaml,ft_ms_api_contracts,ft_ms_jvm_build_and_code,ft_ms_frontend_web,ft_ms_scripts_ops,ft_ms_config_data
9020027,37,2,0,1906.0,5489,0,153,1253349,355.68624541129407,7,1,0,0,1,3,1,4,3,1,4,0,0,0,0,0,0,13,11165,0,1,10,121,0,1,0,1,18,0,14,1,1,1,1,3,1,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,4,1,0.0008217592592592593,1602.0,2331.5714285714284,0.0,0.0,0.0,0.0,1.0,0.0
9020027,28,0,0,1935.0,5487,0,153,4805,0.0,7,1,0,0,2,103,29,132,40,7,47,1,0,0,0,0,0,13,11170,0,0,0,0,0,1,0,1,18,0,14,1,1,1,2,103,29,132,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,5,132,12,6,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,15,0,4,1,0.0012731481481481483,1906.0,2060.714285714286,0.0,0.0,0.0,0.0,0.0,0.0
9020027,20,2,0,1966.0,5484,0,153,4805,0.0,7,1,0,0,2,25,9,34,0,0,0,2,0,0,0,0,0,13,10891,0,1,2,130,0,1,0,1,18,0,14,1,1,1,2,25,9,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,34,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,1,0.0006134259259259259,1935.0,1796.5714285714287,0.0,0.0,0.0,0.0,0.0,0.0
9020027,20,2,0,2451.0,5482,0,153,4805,0.0,7,1,0,0,1,4,10,14,0,0,0,1,0,0,0,0,0,13,10891,0,1,1,120,0,1,0,1,18,0,14,1,1,1,1,4,10,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,14,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,1,0.00017361111111111112,1966.0,1826.857142857143,0.0,0.0,0.0,0.0,0.0,0.0
9020027,12,2,0,2024.0,5481,0,153,1215268,353.12210969103114,7,1,0,5,24,415,290,705,173,69,242,7,2,12,0,0,0,13,10894,0,1,8,156,0,1,0,1,18,0,14,1,1,1,29,415,290,705,5,10,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,29,0,104,705,50,75,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,11,1,11,2,1,4,0,16,0,4,1,0.00017361111111111112,2451.0,1926.142857142857,1.0,0.0,0.0,0.0,1.0,0.0
9020027,20,2,0,2526.0,5480,0,153,1253981,355.543664537182,7,1,0,0,7,35,35,70,10,10,20,6,0,0,0,0,0,13,11173,0,1,23,233,0,1,0,1,18,0,14,1,1,1,7,35,35,70,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,7,0,23,70,0,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,16,0,4,1,0.0032175925925925926,2024.0,1948.857142857143,0.0,0.0,0.0,0.0,1.0,0.0
9020027,34,2,0,1903.0,5478,0,153,1253736,355.4352750499308,7,1,0,0,18,745,555,1300,429,536,965,14,0,0,0,0,0,13,11171,0,1,7,55,0,1,0,1,18,0,14,1,1,1,18,745,555,1300,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18,0,71,1300,64,35,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,0,1,17,0,4,1,0.0001388888888888889,2526.0,2058.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0
9020027,28,0,0,5246.0,5475,0,153,4805,0.0,7,1,0,0,2,103,29,132,40,7,47,1,0,0,0,0,0,13,11171,0,0,0,0,0,1,0,1,18,0,14,1,1,1,2,103,29,132,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,6,132,11,7,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,18,0,4,0,0.00015046296296296297,1903.0,2101.5714285714284,0.0,0.0,0.0,0.0,0.0,0.0
9020027,8,2,0,4859.0,5474,0,153,4805,0.0,7,1,0,0,1,2,2,4,0,0,0,0,0,1,0,0,0,13,10892,0,1,2,2378,0,1,0,1,18,0,14,1,1,1,1,2,2,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,4,0,0,4,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,4,0,0.00024305555555555555,5246.0,2578.714285714286,1.0,0.0,0.0,0.0,0.0,0.0
9020027,8,2,0,4461.0,5473,0,153,4805,0.0,7,1,0,0,22,61,121,182,61,121,182,0,0,0,0,0,0,13,11171,0,1,14,123,0,1,0,1,18,0,14,1,1,1,22,61,121,182,1,2,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,22,0,47,182,13,3,166,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,22,1,1,0,1,1,0,18,0,4,0,6.944444444444444e-05,4859.0,2996.4285714285716,1.0,0.0,0.0,0.0,1.0,0.0
